"filename", "language", "JavaScript", "TypeScript", "HTML", "JSON with Comments", "JavaScript JSX", "Markdown", "PostCSS", "JSON", "Properties", "Gradle", "Batch", "YAML", "Java", "XML", "comment", "blank", "total"
"c:\Users\bemat\src\DrivingTracking\android\app\src\test\java\com\getcapacitor\myapp\ExampleUnitTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 5, 5, 19
"c:\Users\bemat\src\DrivingTracking\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 7, 30
"c:\Users\bemat\src\DrivingTracking\android\capacitor.settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 8, 25
"c:\Users\bemat\src\DrivingTracking\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 15, 6, 28
"c:\Users\bemat\src\DrivingTracking\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\bemat\src\DrivingTracking\android\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 32, 22, 95
"c:\Users\bemat\src\DrivingTracking\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\bemat\src\DrivingTracking\android\variables.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 16
"c:\Users\bemat\src\DrivingTracking\capacitor.config.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\bemat\src\DrivingTracking\components.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\bemat\src\DrivingTracking\docs\ADVANCED_TRACKING_MODE_PHASE_PROMPTS.md", "Markdown", 0, 0, 0, 0, 0, 296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 418
"c:\Users\bemat\src\DrivingTracking\docs\ADVANCED_TRACKING_MODE_QA.md", "Markdown", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 33
"c:\Users\bemat\src\DrivingTracking\docs\CERTIFICATE_PIN_RENEWAL.md", "Markdown", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 59
"c:\Users\bemat\src\DrivingTracking\docs\MANUAL_TRIP_NO_MOVEMENT_DEBUG.md", "Markdown", 0, 0, 0, 0, 0, 666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176, 842
"c:\Users\bemat\src\DrivingTracking\docs\PHASE_0_INCIDENT_TRIAGE_RESULTS.md", "Markdown", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 72
"c:\Users\bemat\src\DrivingTracking\docs\PRIVACY_INTELLIGENCE.md", "Markdown", 0, 0, 0, 0, 0, 1753, 0, 0, 0, 0, 0, 0, 0, 0, 0, 363, 2116
"c:\Users\bemat\src\DrivingTracking\docs\PROJECT_README.md", "Markdown", 0, 0, 0, 0, 0, 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 227
"c:\Users\bemat\src\DrivingTracking\docs\README.md", "Markdown", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 31
"c:\Users\bemat\src\DrivingTracking\docs\RECOVERY_PLAN.md", "Markdown", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 92
"c:\Users\bemat\src\DrivingTracking\docs\TECHNICAL_REFERENCE.md", "Markdown", 0, 0, 0, 0, 0, 51645, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3417, 55062
"c:\Users\bemat\src\DrivingTracking\docs\TRIP_3D_REPLAY.md", "Markdown", 0, 0, 0, 0, 0, 792, 0, 0, 0, 0, 0, 0, 0, 0, 0, 215, 1007
"c:\Users\bemat\src\DrivingTracking\docs\UI_LOADING_PERFORMANCE.md", "Markdown", 0, 0, 0, 0, 0, 1512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 462, 1974
"c:\Users\bemat\src\DrivingTracking\docs\UPGRADE_VERIFICATION.md", "Markdown", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 67
"c:\Users\bemat\src\DrivingTracking\docs\VERSION_CODE_2_VERIFICATION.md", "Markdown", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 49
"c:\Users\bemat\src\DrivingTracking\docs\speed-and-fallbacks.md", "Markdown", 0, 0, 0, 0, 0, 709, 0, 0, 0, 0, 0, 0, 0, 0, 0, 212, 921
"c:\Users\bemat\src\DrivingTracking\e2e\app-smoke.spec.js", "JavaScript", 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 166
"c:\Users\bemat\src\DrivingTracking\e2e\insights.spec.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 54
"c:\Users\bemat\src\DrivingTracking\e2e\settings-controls.spec.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 101
"c:\Users\bemat\src\DrivingTracking\e2e\trip-3d-replay-upgrade.spec.js", "JavaScript", 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 204
"c:\Users\bemat\src\DrivingTracking\e2e\ux-layout.spec.js", "JavaScript", 320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 373
"c:\Users\bemat\src\DrivingTracking\eslint.config.js", "JavaScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 79
"c:\Users\bemat\src\DrivingTracking\index.html", "HTML", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\bemat\src\DrivingTracking\jsconfig.json", "JSON with Comments", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"c:\Users\bemat\src\DrivingTracking\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 11739, 0, 0, 0, 0, 0, 0, 0, 1, 11740
"c:\Users\bemat\src\DrivingTracking\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 1, 122
"c:\Users\bemat\src\DrivingTracking\playwright.config.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 32
"c:\Users\bemat\src\DrivingTracking\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\bemat\src\DrivingTracking\scripts\android-perf-cdp.mjs", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39
"c:\Users\bemat\src\DrivingTracking\scripts\build-integrity-utils.mjs", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 51
"c:\Users\bemat\src\DrivingTracking\scripts\check-certificate-pins.mjs", "JavaScript", 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 123
"c:\Users\bemat\src\DrivingTracking\scripts\check-recovery-contract.mjs", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 103
"c:\Users\bemat\src\DrivingTracking\scripts\check-repository-hygiene.mjs", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
